City_ID,City,Country,Lat,Lng,Date/Time,Max Temp (F),Humidity (%),Wind Speed (mph),Cloud Cover (%)
202,basco,US,40.33,-91.2,Wed Jun 13 09:35:00 2018,77.0,44,13.87,1
203,suleja,NG,9.18,7.18,Wed Jun 13 09:57:00 2018,87.34,74,2.95,20
204,tazovskiy,RU,67.47,78.7,Wed Jun 13 09:57:00 2018,67.72,60,14.81,12
205,waterloo,CA,43.47,-80.52,Wed Jun 13 09:00:00 2018,75.2,78,12.75,75
206,kruisfontein,ZA,-34.0,24.73,Wed Jun 13 09:57:01 2018,75.82,47,8.43,0
207,hithadhoo,MV,-0.6,73.08,Wed Jun 13 09:57:01 2018,83.65,100,6.42,12
208,aqtobe,KZ,50.28,57.21,Wed Jun 13 09:00:00 2018,71.6,24,6.71,0
209,trinidad,UY,-33.52,-56.9,Wed Jun 13 09:00:00 2018,50.0,76,17.22,75
210,jasper,US,33.83,-87.28,Wed Jun 13 09:35:00 2018,78.8,83,5.19,12
211,tempio pausania,IT,40.9,9.1,Wed Jun 13 09:30:00 2018,69.8,77,11.41,40
212,kununurra,AU,-15.77,128.74,Wed Jun 13 09:00:00 2018,73.4,73,5.82,75
213,zhob,PK,31.34,69.45,Wed Jun 13 09:57:03 2018,80.95,10,5.64,0
214,los llanos de aridane,ES,28.66,-17.92,Wed Jun 13 09:30:00 2018,73.4,60,12.75,20
215,nohar,IN,29.18,74.77,Wed Jun 13 09:57:03 2018,98.5,22,9.55,0
216,sainte-suzanne,CH,47.51,6.77,Wed Jun 13 09:30:00 2018,66.2,48,10.29,76
217,crotone,IT,39.09,17.12,Wed Jun 13 08:50:00 2018,82.4,42,23.04,0
218,gambela,ET,8.25,34.59,Wed Jun 13 09:57:04 2018,68.62,94,2.95,92
219,kavaratti,IN,10.57,72.64,Wed Jun 13 09:57:04 2018,81.67,100,22.64,80
220,ust-ilimsk,RU,57.96,102.73,Wed Jun 13 09:57:05 2018,60.61,87,1.95,12
221,leo,BF,11.1,-2.1,Wed Jun 13 09:57:09 2018,94.72,66,4.63,0
222,totolapan,MX,18.99,-98.92,Wed Jun 13 09:14:00 2018,59.0,77,5.82,75
223,funtua,NG,11.52,7.31,Wed Jun 13 09:57:09 2018,90.67,50,2.17,44
224,salalah,OM,17.01,54.1,Wed Jun 13 08:50:00 2018,84.2,89,10.29,75
225,burnie,AU,-41.05,145.91,Wed Jun 13 09:57:10 2018,51.88,100,21.07,92
226,boulder city,US,35.98,-114.83,Wed Jun 13 09:15:00 2018,89.6,11,3.51,1
227,massakory,TD,13.0,15.73,Wed Jun 13 09:57:11 2018,100.21,46,6.98,0
228,arlit,NE,18.74,7.39,Wed Jun 13 09:57:12 2018,110.92,14,4.74,0
229,zhigansk,RU,66.77,123.37,Wed Jun 13 09:57:12 2018,56.83,56,4.97,0
230,florianopolis,BR,-27.6,-48.55,Wed Jun 13 09:00:00 2018,69.8,64,3.36,40
231,lavrentiya,RU,65.58,-170.99,Wed Jun 13 09:57:12 2018,35.95,76,8.43,0
232,bluefield,US,37.27,-81.22,Wed Jun 13 09:15:00 2018,78.8,78,11.41,90
233,te anau,NZ,-45.41,167.72,Wed Jun 13 09:57:13 2018,27.22,80,2.84,8
234,marawi,PH,8.0,124.29,Wed Jun 13 09:57:13 2018,66.73,99,2.28,44
235,amapa,HN,15.09,-87.97,Wed Jun 13 10:00:00 2018,84.2,83,4.7,75
236,palmer,AU,-34.85,139.16,Wed Jun 13 09:00:00 2018,55.4,82,17.22,75
237,cidreira,BR,-30.17,-50.22,Wed Jun 13 09:57:14 2018,51.97,81,26.33,0
238,saint-pierre,FR,48.95,4.24,Wed Jun 13 09:30:00 2018,66.2,67,12.75,90
239,aykhal,RU,65.95,111.51,Wed Jun 13 09:57:19 2018,62.23,57,4.74,32
240,ondangwa,,-17.91,15.98,Wed Jun 13 09:00:00 2018,84.2,13,2.24,0
241,pitimbu,BR,-7.47,-34.81,Wed Jun 13 09:00:00 2018,84.2,54,17.22,40
242,grandview,US,38.89,-94.53,Wed Jun 13 09:55:00 2018,80.6,65,10.29,1
243,williston,US,48.15,-103.62,Wed Jun 13 09:15:00 2018,71.6,36,8.05,1
244,maniitsoq,GL,65.42,-52.9,Wed Jun 13 09:57:22 2018,36.31,97,5.53,68
245,krasnyy yar,RU,50.7,44.73,Wed Jun 13 09:57:23 2018,64.03,86,8.21,92
246,nouadhibou,MR,20.93,-17.03,Wed Jun 13 09:00:00 2018,80.6,47,14.99,20
247,buritama,BR,-21.07,-50.14,Wed Jun 13 09:57:24 2018,75.1,95,6.31,68
248,longyearbyen,NO,78.22,15.63,Wed Jun 13 08:50:00 2018,33.8,86,18.34,90
249,lasa,CY,34.92,32.53,Wed Jun 13 09:30:00 2018,80.6,74,6.93,20
250,college,US,64.86,-147.8,Wed Jun 13 08:58:00 2018,42.8,75,3.36,1
251,ust-tsilma,RU,65.44,52.15,Wed Jun 13 09:57:25 2018,54.4,84,3.62,12
252,saint-augustin,FR,44.83,-0.61,Wed Jun 13 09:30:00 2018,69.8,82,12.75,64
253,berlevag,NO,70.86,29.09,Wed Jun 13 08:50:00 2018,42.8,70,13.87,75
254,havoysund,NO,71.0,24.66,Wed Jun 13 09:20:00 2018,42.8,87,13.87,75
255,kamina,CD,-8.74,25.0,Wed Jun 13 09:57:30 2018,85.0,23,7.99,0
256,yaan,NG,7.38,8.57,Wed Jun 13 09:57:30 2018,85.9,100,7.09,48
257,makakilo city,US,21.35,-158.09,Wed Jun 13 08:57:00 2018,77.0,83,4.7,1
258,along,IN,28.17,94.8,Wed Jun 13 09:57:30 2018,68.89,98,1.5,100
259,vanimo,PG,-2.67,141.3,Wed Jun 13 09:57:31 2018,83.65,100,4.29,88
260,hovd,NO,63.83,10.7,Wed Jun 13 09:20:00 2018,62.6,48,4.7,75
261,la maddalena,IT,39.15,9.02,Wed Jun 13 09:20:00 2018,75.2,57,17.22,40
262,grand gaube,MU,-20.01,57.66,Wed Jun 13 09:00:00 2018,75.2,69,14.99,75
263,novoagansk,RU,61.94,76.66,Wed Jun 13 09:57:33 2018,67.81,37,8.43,20
264,kearney,US,40.7,-99.08,Wed Jun 13 09:15:00 2018,71.6,64,14.99,90
265,geraldton,CA,49.72,-86.95,Wed Jun 13 09:00:00 2018,62.6,63,8.05,75
266,castro,CL,-42.48,-73.76,Wed Jun 13 09:57:34 2018,39.73,99,2.73,0
267,luganville,VU,-15.51,167.18,Wed Jun 13 09:57:35 2018,75.19,100,4.85,92
268,mahebourg,MU,-20.41,57.7,Wed Jun 13 09:00:00 2018,75.2,69,14.99,75
269,vostok,RU,46.45,135.83,Wed Jun 13 09:57:35 2018,45.04,83,1.95,44
270,esperance,TT,10.24,-61.45,Wed Jun 13 09:00:00 2018,80.6,88,12.75,75
271,fare,PF,-16.7,-151.02,Wed Jun 13 09:57:36 2018,79.42,100,13.91,0
272,toora-khem,RU,52.47,96.11,Wed Jun 13 09:57:36 2018,57.82,83,2.84,92
273,santa rita,VE,10.21,-67.56,Wed Jun 13 09:57:38 2018,83.65,64,2.73,36
274,west bay,GB,50.71,-2.76,Wed Jun 13 09:20:00 2018,68.0,77,12.75,40
275,gamba,CN,28.28,88.52,Wed Jun 13 09:57:39 2018,32.35,91,2.28,92
276,rudnya,RU,50.8,44.56,Wed Jun 13 09:57:39 2018,63.31,88,7.65,92
277,norman wells,CA,65.28,-126.83,Wed Jun 13 09:00:00 2018,44.6,65,5.82,90
278,salinas,US,36.67,-121.66,Wed Jun 13 09:35:00 2018,60.8,67,3.62,1
279,ugoofaaru,MV,5.67,73.0,Wed Jun 13 09:57:41 2018,82.93,100,8.77,80
280,kiunga,PG,-6.12,141.3,Wed Jun 13 09:57:44 2018,74.29,94,2.06,88
